303,296,8
330,341,11
196,299,12
176,305,12
165,315,12
156,337,13
187,337,14
171,341,14
321,314,14
334,336,15
350,352,16
173,339,17
208,281,18
305,316,18
155,361,19
198,273,19
338,286,20
200,305,20
210,325,21
199,270,20
142,344,21
127,301,21
317,311,21
348,311,22
157,310,22
213,288,23
155,308,23
381,329,23
356,359,23
174,331,26
305,308,25
387,303,25
322,351,26
129,272,26
134,371,27
414,307,26
338,348,27
356,338,28
153,362,28
210,290,28
154,259,29
117,336,29
390,280,28
346,368,28
307,349,28
372,333,29
139,317,30
163,371,30
120,271,31
363,369,31
381,261,31
329,253,31
365,314,31
102,292,32
170,252,33
386,257,32
119,351,34
118,279,34
94,336,35
368,268,34
413,305,34
332,355,34
191,220,36
175,342,36
100,262,36
297,220,36
395,253,35
420,289,37
85,304,37
193,259,37
187,366,37
228,206,38
188,209,39
207,333,38
370,246,38
387,284,38
396,337,38
184,344,39
110,287,40
128,249,41
174,237,41
137,324,41
202,194,41
372,294,39
326,349,38
155,200,41
207,330,41
142,360,42
137,277,42
166,212,42
393,352,41
170,217,44
114,357,43
164,198,45
324,229,44
200,348,44
146,383,45
186,371,45
115,263,47
360,332,44
315,200,46
199,337,46
173,383,46
122,269,47
106,344,47
251,182,47
142,192,47
112,313,48
140,257,48
338,359,45
421,309,48
77,285,48
162,200,49
235,174,50
154,369,48
141,270,50
253,182,50
320,364,47
335,367,47
377,377,48
312,356,48
410,329,49
141,216,51
107,227,51
408,348,50
335,360,49
399,261,50
428,298,50
338,339,50
352,373,50
313,339,50
169,360,52
80,297,52
118,240,52
246,181,52
112,206,53
221,201,54
70,312,53
127,345,52
343,355,51
410,315,52
289,163,53
321,363,51
406,240,53
205,201,55
138,224,55
122,378,52
184,337,53
157,343,54
125,288,55
106,206,56
198,167,56
416,326,53
418,263,54
407,224,55
381,219,55
97,360,54
107,379,54
85,283,56
110,247,56
152,256,56
141,176,57
217,322,56
131,306,56
426,281,56
415,203,56
427,226,56
385,235,58
239,166,59
137,302,58
341,387,55
354,180,59
414,275,58
373,314,58
395,365,57
192,361,58
131,189,61
214,321,59
170,276,60
370,372,58
389,367,58
405,206,60
328,360,59
163,321,60
229,147,63
136,215,63
347,353,60
419,284,61
384,177,61
314,351,61
193,370,61
136,400,61
99,272,63
145,376,62
190,350,63
139,290,64
378,369,61
431,235,65
386,327,63
396,377,62
131,384,63
174,244,66
146,240,66
234,141,67
137,170,67
82,270,66
124,250,66
85,304,64
208,339,64
344,380,63
440,300,67
140,253,67
187,385,65
99,211,68
415,360,66
406,263,67
114,226,70
157,363,67
336,389,66
406,286,69
430,328,68
184,381,68
203,349,69
79,325,68
126,289,69
113,305,69
112,236,72
395,339,70
400,311,69
433,318,69
375,369,69
391,281,71
441,274,71
413,326,70
162,371,70
116,380,69
136,391,69
171,344,70
120,155,73
146,191,74
110,171,74
96,228,73
80,284,70
67,284,70
173,356,71
397,307,71
388,318,72
172,399,70
167,290,73
90,198,74
100,196,76
436,261,74
129,322,74
104,206,77
110,381,74
151,397,74
378,375,75
400,311,75
359,373,75
101,202,78
129,240,78
198,291,78
427,247,79
137,275,77
93,238,81
81,290,78
415,351,78
337,343,78
175,397,78
125,308,79
111,214,81
117,248,82
133,362,79
376,340,81
438,299,81
79,325,81
71,218,84
376,353,82
433,225,85
440,307,83
144,355,82
116,231,84
128,163,87
108,323,83
201,364,83
176,378,82
435,274,83
326,377,85
419,312,85
442,266,84
69,313,84
340,374,86
432,180,87
415,338,87
114,372,86
116,166,91
310,343,88
442,290,88
75,340,87
134,152,93
